n,Iterative C,Recursive C,Dynamic Programming C,Iterative P,Recursive P,Dynamic Programming P
1,0.00223,0.00202,0.00192,0.02003,0.01980,0.01991
2,0.00208,0.00200,0.00191,0.01964,0.01966,0.01917
3,0.00216,0.00201,0.00188,0.01888,0.01969,0.01941
4,0.00197,0.00186,0.00195,0.01920,0.01979,0.01912
5,0.00197,0.00198,0.00172,0.01950,0.01837,0.01990
6,0.00220,0.00189,0.00190,0.01885,0.01970,0.01849
7,0.00218,0.00193,0.00185,0.01949,0.01939,0.01898
8,0.00200,0.00205,0.00195,0.01931,0.01895,0.01955
9,0.00196,0.00194,0.00183,0.01808,0.01844,0.01861
10,0.00201,0.00189,0.00188,0.01890,0.01934,0.01880
11,0.00202,0.00186,0.00188,0.01948,0.01913,0.01927
12,0.00194,0.00188,0.00188,0.01900,0.02007,0.01989
13,0.00216,0.00196,0.00445,0.01904,0.01920,0.01993
14,0.00218,0.00203,0.00182,0.01947,0.01972,0.01925
15,0.00204,0.00181,0.00434,0.01862,0.01898,0.01976
16,0.00192,0.00188,0.00436,0.01907,0.01868,0.01956
17,0.00208,0.00195,0.00444,0.01843,0.01836,0.01897
18,0.00199,0.00196,0.00444,0.01878,0.01815,0.01890
19,0.00198,0.00186,0.00435,0.01840,0.01817,0.01964
20,0.00204,0.00185,0.00443,0.01948,0.01902,0.01890
21,0.00197,0.00183,0.00438,0.01792,0.01913,0.01916
22,0.00219,0.00181,0.00433,0.01962,0.01918,0.01976
23,0.00200,0.00199,0.00443,0.01945,0.01922,0.01966
24,0.00211,0.00195,0.00434,0.01920,0.01901,0.01760
25,0.00184,0.00459,0.00435,0.01958,0.01977,0.01872
26,0.00217,0.00440,0.00450,0.01963,0.01953,0.01970
27,0.00199,0.00441,0.00434,0.01905,0.01938,0.01975
28,0.00202,0.00438,0.00447,0.01937,0.01963,0.01979
29,0.00217,0.00943,0.00433,0.01962,0.01886,0.01936
30,0.00234,0.00951,0.00440,0.01991,0.03986,0.01999
31,0.00203,0.01764,0.00449,0.01976,0.01994,0.01989
32,0.00204,0.03884,0.00469,0.01974,0.01950,0.01905
33,0.00198,0.03951,0.00452,0.01919,0.01921,0.01966
34,0.00214,0.07654,0.00464,0.01959,0.01928,0.01985
35,0.00199,0.13160,0.00486,0.01970,0.01928,0.01888
36,0.00215,0.13143,0.00471,0.01962,0.01969,0.01966
37,0.00194,0.23867,0.00473,0.01978,0.01925,0.01861
38,0.00240,0.39513,0.00491,0.01941,0.01981,0.01965
39,0.00210,0.57060,0.00473,0.01972,0.01959,0.01938
40,0.00214,0.89293,0.00498,0.01913,0.01876,0.01913
41,0.00218,1.43087,0.00504,0.01968,0.01966,0.01889
42,0.00208,2.25493,0.00523,0.01973,0.01966,0.01991
43,0.00264,3.76357,0.00490,0.01974,0.01960,0.01967
44,0.00214,5.87122,0.01067,0.01978,0.01772,0.01936
45,0.00202,9.49130,0.00493,0.01977,0.01963,0.01896
46,0.00218,15.48850,0.00492,0.01797,0.01980,0.01991
47,0.00201,25.34297,0.00554,0.01817,0.02016,0.01910
48,0.00206,41.35965,0.01044,0.01978,0.01966,0.01916
49,0.00204,-,0.00532,0.01928,0.01887,0.01938
50,0.00208,-,0.00449,0.01868,0.01817,0.01970
51,0.00211,-,0.00434,0.01961,0.01912,0.01977
52,0.00193,-,0.00448,0.01902,0.01973,0.01868
53,0.00205,-,0.00440,0.01957,0.01905,0.01971
54,0.00200,-,0.00958,0.01969,0.01974,0.01966
55,0.00195,-,0.00437,0.01878,0.01953,0.01911
56,0.00213,-,0.00445,0.01894,0.01862,0.01920
57,0.00217,-,0.00940,0.01900,0.01977,0.01912
58,0.00213,-,0.00435,0.01880,0.01907,0.01923
59,0.00208,-,0.00950,0.01927,0.01923,0.01942
60,0.00206,-,0.00939,0.01968,0.01977,0.01919
61,0.00193,-,0.00959,0.01915,0.01888,0.01952
62,0.00198,-,0.00941,0.01918,0.01884,0.01939
63,0.00207,-,0.00949,0.01960,0.01900,0.01875
64,0.00218,-,0.00954,0.01907,0.01970,0.01952
65,0.00214,-,0.00947,0.01913,0.01926,0.01968
66,0.00223,-,0.00947,0.01915,0.01925,0.01965
67,0.00207,-,0.00937,0.01905,0.01876,0.01905
68,0.00203,-,0.00955,0.01857,0.01889,0.01960
69,0.00200,-,0.00949,0.01963,0.01867,0.01979
70,0.00213,-,0.00949,0.01937,0.01979,0.01941
71,0.00212,-,0.00947,0.01875,0.01922,0.01905
72,0.00207,-,0.00957,0.01891,0.01896,0.01854
73,0.00212,-,0.00947,0.01887,0.01877,0.01884
74,0.00197,-,0.00950,0.01877,0.01875,0.01873
75,0.00192,-,0.00944,0.01923,0.01965,0.01827
76,0.00194,-,0.00950,0.01890,0.01838,0.01971
77,0.00199,-,0.00947,0.01869,0.01880,0.01913
78,0.00199,-,0.00948,0.01954,0.01880,0.01902
79,0.00206,-,0.00946,0.01863,0.01889,0.01911
80,0.00208,-,0.00943,0.01972,0.01972,0.01895
81,0.00200,-,0.00940,0.01887,0.01975,0.01877
82,0.00195,-,0.00950,0.01894,0.01974,0.01958
83,0.00212,-,0.00951,0.01974,0.02002,0.01975
84,0.00198,-,0.00940,0.01952,0.01863,0.01912
85,0.00204,-,0.00950,0.01949,0.01893,0.01887
86,0.00210,-,0.00936,0.01865,0.01927,0.01967
87,0.00198,-,0.00948,0.01902,0.01981,0.01869
88,0.00195,-,0.00943,0.01930,0.01862,0.01870
89,0.00201,-,0.00939,0.01939,0.01995,0.01925
90,0.00209,-,0.00946,0.01886,0.01895,0.01961
91,0.00207,-,0.00952,0.01958,0.01902,0.01902
92,0.00206,-,0.00954,0.01880,0.01906,0.01924
93,0.00205,-,0.01005,0.01919,0.01888,0.01901
94,0.00215,-,0.00949,0.01899,0.01918,0.01877
95,0.00211,-,0.00948,0.01883,0.01862,0.01874
96,0.00209,-,0.00940,0.01872,0.01849,0.01893
97,0.00205,-,0.00938,0.01820,0.01988,0.01875
98,0.00203,-,0.00950,0.01966,0.01883,0.01878
99,0.00210,-,0.00939,0.01963,0.01883,0.01954
100,0.00205,-,0.00958,0.01891,0.01975,0.01912
101,0.00213,-,0.00952,0.01908,0.01892,0.01873
102,0.00206,-,0.00946,0.01899,0.01900,0.01817
103,0.00222,-,0.00964,0.01882,0.01913,0.02027
104,0.00198,-,0.00950,0.01829,0.01985,0.01976
105,0.00235,-,0.00963,0.01969,0.01956,0.01906
106,0.00202,-,0.00950,0.01965,0.01899,0.01965
107,0.00200,-,0.00940,0.01882,0.01981,0.01887
108,0.00205,-,0.00947,0.01920,0.01880,0.01976
109,0.00193,-,0.00938,0.01920,0.01902,0.01856
110,0.00200,-,0.00946,0.01861,0.01817,0.01869
111,0.00202,-,0.00942,0.01827,0.01909,0.01897
112,0.00199,-,0.00943,0.01975,0.01870,0.01887
113,0.00198,-,0.00939,0.01893,0.01895,0.01890
114,0.00216,-,0.00954,0.01873,0.01916,0.01890
115,0.00209,-,0.00940,0.01902,0.01975,0.01894
116,0.00214,-,0.00949,0.01973,0.01877,0.01941
117,0.00217,-,0.00955,0.01909,0.01797,0.01838
118,0.00227,-,0.00950,0.01959,0.01898,0.01852
119,0.00197,-,0.00953,0.01899,0.01965,0.01879
120,0.00205,-,0.00950,0.01892,0.01879,0.01982
121,0.00197,-,0.00881,0.01872,0.01875,0.01947
122,0.00198,-,0.00939,0.01861,0.01879,0.01979
123,0.00195,-,0.00954,0.01957,0.01967,0.01884
124,0.00196,-,0.00951,0.01894,0.01891,0.01966
125,0.00198,-,0.01016,0.01997,0.01919,0.01884
126,0.00207,-,0.00951,0.01932,0.01856,0.01959
127,0.00202,-,0.00944,0.01859,0.01956,0.01926
128,0.00198,-,0.00943,0.01882,0.01902,0.01882
129,0.00210,-,0.00955,0.01924,0.01878,0.01888
130,0.00209,-,0.00950,0.01876,0.01879,0.01903
131,0.00210,-,0.00942,0.01968,0.01965,0.01923
132,0.00219,-,0.00943,0.01904,0.01873,0.01820
133,0.00225,-,0.00956,0.01809,0.01899,0.01906
134,0.00196,-,0.00948,0.01896,0.01841,0.01908
135,0.00216,-,0.00946,0.01857,0.01886,0.01861
136,0.00208,-,0.00939,0.01870,0.01879,0.01971
137,0.00204,-,0.00941,0.01969,0.01941,0.01977
138,0.00202,-,0.00950,0.01890,0.01878,0.01869
139,0.00212,-,0.00954,0.01970,0.01978,0.01893
140,0.00210,-,0.00962,0.01862,0.01903,0.01917
141,0.00222,-,0.00972,0.01918,0.01890,0.01870
